sequence_id,5fold_seed1,5fold_seed2,5fold_seed3,5fold_seed4,5fold_seed5,5fold_seed6,5fold_seed7,5fold_seed8,5fold_seed9,5fold_seed10,5fold_seed2025
SEQ_031317,3,4,4,4,3,3,2,2,3,4,0
SEQ_031318,1,3,1,1,1,0,1,1,1,1,1
SEQ_031321,0,1,1,0,0,0,0,4,0,1,2
SEQ_031330,0,3,1,0,0,0,0,0,1,1,2
SEQ_031331,2,3,3,0,1,0,4,2,2,1,2
SEQ_031340,4,0,0,0,4,0,4,4,0,4,0
SEQ_031349,3,3,3,3,0,3,3,3,3,4,3
SEQ_031373,4,2,0,0,0,1,0,0,0,1,0
SEQ_031376,4,4,4,4,3,4,3,3,4,3,4
SEQ_031379,2,0,0,0,4,0,4,4,0,4,0
SEQ_031380,0,3,3,3,2,3,2,2,3,2,3
SEQ_031398,1,4,2,1,1,1,1,2,2,2,3
SEQ_031408,4,4,4,4,3,4,3,3,4,3,4
SEQ_031423,1,4,4,1,2,1,2,3,3,2,3
SEQ_031424,0,0,0,0,4,0,0,0,0,4,0
SEQ_031434,2,3,3,2,2,2,2,1,2,3,4
SEQ_031438,1,2,2,1,1,1,1,0,1,2,3
SEQ_031446,3,4,4,4,3,3,2,2,3,4,0
SEQ_031451,0,3,2,2,2,3,2,2,3,2,3
SEQ_031458,4,1,1,0,1,0,0,1,1,1,2
SEQ_031469,0,2,2,1,2,1,1,2,2,2,3
SEQ_031472,0,1,4,4,4,0,4,4,3,0,3
SEQ_031486,0,1,1,1,0,1,0,0,1,0,1
SEQ_031497,3,4,4,4,3,4,3,3,4,3,4
SEQ_031508,3,1,1,0,0,1,0,0,1,0,1
SEQ_031519,3,0,0,3,3,4,4,4,4,3,4
SEQ_031530,4,1,1,0,1,0,0,1,1,1,2
SEQ_031537,0,1,4,4,4,0,4,4,3,0,3
SEQ_031542,3,4,3,2,3,3,2,2,3,4,4
SEQ_031543,2,2,2,2,1,2,1,1,2,1,2
SEQ_031545,0,1,1,4,0,0,4,4,0,1,2
SEQ_031552,2,2,2,2,1,2,2,1,2,1,2
SEQ_031561,1,4,4,1,2,1,2,3,3,2,3
SEQ_031563,4,0,4,4,4,0,4,4,4,4,4
SEQ_031573,2,4,4,3,3,3,3,3,4,2,0
SEQ_031577,4,1,1,0,1,2,1,1,1,1,2
SEQ_031585,0,1,1,4,0,0,4,4,0,1,2
SEQ_031592,0,1,1,0,0,0,0,4,0,1,2
SEQ_031611,1,4,3,1,2,1,1,4,3,2,3
SEQ_031646,4,0,0,3,2,4,3,3,4,3,0
SEQ_031647,0,0,0,0,4,0,4,4,0,4,0
SEQ_031672,3,0,0,4,0,1,0,0,0,0,1
SEQ_031678,2,3,3,2,2,2,2,1,2,3,4
SEQ_031684,4,0,0,3,2,4,3,3,4,3,0
SEQ_031687,0,0,0,0,4,0,4,4,0,4,0
SEQ_031688,0,1,0,0,0,1,0,0,0,0,0
SEQ_031695,0,3,2,0,1,0,0,4,2,1,2
SEQ_031723,0,2,2,1,2,3,2,2,2,2,3
SEQ_031725,3,1,0,3,4,3,4,0,0,4,0
SEQ_031732,0,1,4,4,4,0,4,4,3,0,3
SEQ_031735,1,4,3,1,2,1,1,4,3,2,3
SEQ_031750,0,3,3,3,2,3,2,2,3,2,3
SEQ_031752,1,1,1,1,0,1,0,0,1,0,1
SEQ_031754,2,0,0,0,4,0,4,4,0,4,0
SEQ_031758,0,3,1,0,0,0,0,0,1,1,2
SEQ_031767,2,3,2,2,2,3,2,2,2,3,2
SEQ_031776,3,4,3,2,3,3,2,2,3,4,4
SEQ_031801,4,1,1,0,1,0,0,1,1,1,2
SEQ_031824,4,1,1,0,1,2,1,1,1,1,2
SEQ_031827,2,4,4,3,3,3,3,3,4,2,0
SEQ_031830,1,1,1,1,1,1,1,1,1,1,1
SEQ_031842,1,4,2,1,1,1,1,2,2,2,3
SEQ_031863,2,4,4,3,4,4,4,4,4,4,0
SEQ_031875,0,3,2,2,2,3,2,2,3,2,3
SEQ_031885,0,2,2,1,2,3,2,2,2,2,3
SEQ_031908,0,2,2,1,2,3,2,2,2,2,3
SEQ_031913,4,2,2,2,1,2,1,1,2,1,2
SEQ_031916,3,3,3,3,0,3,3,3,3,4,3
SEQ_031925,2,2,2,2,1,2,1,1,2,1,2
SEQ_031933,0,2,2,1,2,1,1,2,2,2,3
SEQ_031940,3,4,4,4,3,3,2,2,3,4,0
SEQ_031941,4,4,4,4,3,4,4,4,4,3,4
SEQ_031945,3,0,0,4,4,4,4,4,0,3,4
SEQ_031964,0,0,0,0,4,0,4,4,0,4,0
SEQ_031965,2,4,3,2,2,2,2,1,3,3,4
SEQ_031971,3,4,3,3,3,4,3,3,3,4,3
SEQ_031976,1,1,1,1,1,1,1,1,1,1,1
SEQ_031979,0,3,2,0,1,0,0,4,2,1,2
SEQ_031984,1,3,3,2,3,2,2,2,3,0,4
SEQ_031992,2,3,4,1,2,2,1,1,2,3,4
SEQ_031994,3,0,0,4,0,4,0,0,0,0,1
SEQ_032001,0,2,2,1,2,1,1,1,2,1,3
SEQ_032003,4,2,2,2,1,2,1,1,2,1,2
SEQ_032005,4,0,4,4,4,0,4,4,4,4,4
SEQ_032021,0,0,0,0,4,0,4,4,0,4,0
SEQ_032029,0,3,1,0,0,0,0,0,1,1,2
SEQ_032031,1,1,1,1,0,1,0,0,1,0,1
SEQ_032041,2,4,4,3,4,3,3,4,4,3,0
SEQ_032044,3,1,3,3,4,3,3,3,0,4,0
SEQ_032053,2,3,3,2,2,2,2,1,2,3,4
SEQ_032055,0,1,1,0,0,0,0,4,0,1,2
SEQ_032064,0,2,2,0,0,1,1,1,1,0,1
SEQ_032068,2,4,4,3,4,3,3,4,4,3,0
SEQ_032079,2,0,0,0,4,0,4,4,0,4,0
SEQ_032083,2,4,4,2,2,2,3,3,3,2,3
SEQ_032085,4,2,2,2,1,2,1,1,2,1,2
SEQ_032091,4,4,4,4,3,4,4,4,4,3,4
SEQ_032093,0,2,2,4,0,4,1,1,1,0,1
SEQ_032095,3,4,4,4,3,3,2,2,3,4,0
SEQ_032101,0,3,2,0,1,0,0,4,2,1,2
SEQ_032105,2,4,4,2,2,2,3,3,3,2,3
SEQ_032108,4,0,0,4,4,4,4,3,4,0,1
SEQ_032114,4,1,1,3,4,3,0,0,0,4,0
SEQ_032132,1,3,1,1,1,0,1,1,1,1,1
SEQ_032135,4,0,0,3,4,4,3,3,4,0,1
SEQ_032153,4,2,1,4,0,4,4,1,1,0,1
SEQ_032161,4,1,1,3,4,3,0,0,0,4,0
SEQ_032167,4,2,0,4,4,4,4,4,4,0,1
SEQ_032173,3,0,0,4,0,4,4,0,0,4,1
SEQ_032175,2,4,4,3,4,3,3,4,4,3,0
SEQ_032194,3,1,1,0,0,1,0,0,1,0,1
SEQ_032196,4,2,1,4,0,4,4,1,1,0,1
SEQ_032197,0,3,2,0,1,0,0,4,2,1,2
SEQ_032214,2,4,4,3,4,3,3,4,4,3,0
SEQ_032218,4,1,1,0,1,2,1,1,1,1,2
SEQ_032235,3,1,1,0,0,1,0,0,1,0,1
SEQ_032238,2,4,4,2,2,2,3,3,3,2,3
SEQ_032261,2,0,4,2,3,2,2,2,4,3,4
SEQ_032263,4,0,0,4,4,4,4,3,4,0,1
SEQ_032278,1,4,4,4,3,4,3,3,4,3,4
SEQ_032295,2,3,4,1,2,2,1,1,2,3,4
SEQ_032298,3,0,0,4,4,4,4,4,0,3,4
SEQ_032303,1,1,1,1,0,1,1,3,1,0,1
SEQ_032314,3,3,3,3,0,3,3,3,3,4,3
SEQ_032321,1,3,3,2,3,2,2,3,3,2,4
SEQ_032332,1,4,3,2,3,4,3,3,4,3,4
SEQ_032335,0,1,0,0,0,1,0,0,0,0,0
SEQ_032355,2,4,4,3,4,3,3,4,4,3,0
SEQ_032357,1,3,3,2,3,2,2,3,3,2,4
SEQ_032358,3,4,3,3,3,4,3,3,3,4,3
SEQ_032372,1,3,1,1,1,0,1,1,1,1,1
SEQ_032389,1,4,3,1,2,1,1,4,3,2,3
SEQ_032402,0,3,2,0,1,0,0,4,2,1,2
SEQ_032425,1,3,3,2,3,2,2,3,3,2,4
SEQ_032431,2,2,2,2,1,2,2,1,2,1,2
SEQ_032470,2,3,3,0,1,0,4,2,2,1,2
SEQ_032475,3,4,3,2,3,3,2,2,3,4,4
SEQ_032494,1,4,4,1,2,1,2,3,3,2,3
SEQ_032495,3,0,0,4,4,4,4,4,0,3,4
SEQ_032497,0,2,2,1,2,1,1,1,2,1,3
SEQ_032502,4,0,0,3,4,4,3,3,4,0,1
SEQ_032504,0,2,2,1,2,3,2,2,2,2,3
SEQ_032515,1,1,1,1,0,1,0,0,1,0,1
SEQ_032518,3,3,3,3,0,3,3,3,3,4,3
SEQ_032521,3,0,0,4,0,4,0,0,0,0,1
SEQ_032523,0,1,1,1,0,1,0,0,1,0,1
SEQ_032532,0,0,0,0,4,0,4,4,0,4,0
SEQ_032542,0,1,1,4,0,0,4,4,0,1,2
SEQ_032552,1,3,3,2,3,2,3,3,3,3,4
SEQ_032558,3,0,0,4,4,4,4,4,0,3,4
SEQ_032561,1,2,1,1,1,2,1,1,1,2,1
SEQ_032566,2,4,4,3,4,3,3,4,4,3,0
SEQ_032567,2,0,0,0,4,0,4,4,0,4,0
SEQ_032569,0,1,0,0,0,1,0,0,0,0,0
SEQ_032597,1,4,2,1,1,1,1,2,2,2,3
SEQ_032608,2,0,4,2,3,2,2,2,4,3,4
SEQ_032609,3,0,0,4,0,4,0,0,0,0,1
SEQ_032628,3,0,0,4,4,4,4,4,0,3,4
SEQ_032634,2,0,4,3,4,0,4,4,2,4,0
SEQ_032641,4,1,1,4,4,0,0,0,0,4,2
SEQ_032646,3,1,1,0,0,1,0,0,1,0,1
SEQ_032655,0,3,1,0,0,0,0,0,1,1,2
SEQ_032656,4,0,0,0,4,0,4,4,0,4,0
SEQ_032658,4,2,4,1,1,2,1,1,2,1,2
SEQ_032672,1,3,3,1,1,3,2,2,2,1,2
SEQ_032693,4,1,1,0,1,2,1,1,1,1,2
SEQ_032698,1,4,4,4,3,4,3,3,4,3,4
SEQ_032705,3,3,3,3,2,3,3,2,3,2,3
SEQ_032710,3,0,0,3,3,4,4,4,4,3,4
SEQ_032719,1,3,3,2,3,2,2,3,3,2,4
SEQ_032752,1,1,1,1,0,1,0,0,1,0,1
SEQ_032761,1,4,4,4,3,4,3,3,4,3,4
SEQ_032768,3,4,3,3,3,4,3,3,3,4,3
SEQ_032771,3,3,3,3,2,3,3,2,3,2,3
SEQ_032778,4,2,2,2,1,2,1,1,2,1,2
SEQ_032800,4,1,1,0,1,2,1,1,1,1,2
SEQ_032806,3,3,3,3,2,3,2,2,3,2,3
SEQ_032824,2,3,3,2,2,2,2,1,2,3,4
SEQ_032825,4,0,0,3,2,4,3,3,4,3,0
SEQ_032829,0,2,2,1,2,1,1,1,2,1,3
SEQ_032839,2,2,2,2,1,2,2,1,2,1,2
SEQ_032860,4,0,0,4,4,4,4,3,4,0,1
SEQ_032861,1,3,3,2,3,2,3,3,3,3,4
SEQ_032876,3,0,0,4,0,4,4,0,0,4,1
SEQ_032882,1,3,3,2,3,2,2,3,3,2,4
SEQ_032883,4,1,1,0,1,0,0,1,1,1,2
SEQ_032886,2,0,0,0,4,0,4,4,0,4,0
SEQ_032889,4,1,1,0,1,0,0,0,1,0,2
SEQ_032890,4,1,1,0,1,0,0,1,1,1,2
SEQ_032893,0,1,0,0,0,1,0,0,0,0,0
SEQ_032897,2,4,4,3,4,3,3,4,4,3,0
SEQ_032902,3,4,4,4,3,3,2,2,3,4,0
SEQ_032931,0,2,2,0,0,1,1,1,1,0,1
SEQ_032933,2,0,4,3,4,0,4,4,2,4,0
SEQ_032935,0,3,3,3,2,3,2,2,3,2,3
SEQ_032945,2,4,4,3,4,4,4,4,4,4,0
SEQ_032951,3,4,3,3,3,4,3,3,3,4,3
SEQ_032963,3,4,4,3,3,3,3,2,4,4,0
SEQ_032974,4,0,0,0,4,0,4,4,0,4,0
SEQ_032975,3,4,3,2,3,3,2,2,3,4,4
SEQ_032976,3,1,1,0,0,1,0,0,1,0,1
SEQ_032984,3,0,0,4,0,1,0,0,0,0,1
SEQ_033016,4,2,4,1,1,2,1,1,2,1,2
SEQ_033017,0,1,4,4,4,0,4,4,3,0,3
SEQ_033022,1,1,1,1,1,1,1,1,1,1,1
SEQ_033029,3,1,0,3,4,3,4,0,0,4,0
SEQ_033056,1,4,2,1,1,1,1,2,2,2,3
SEQ_033061,3,3,3,3,2,3,3,2,3,2,3
SEQ_033076,3,1,0,3,4,3,4,0,0,4,0
SEQ_033097,2,3,3,2,2,2,2,1,2,3,4
SEQ_033140,1,3,1,1,1,0,1,1,1,1,1
SEQ_033163,4,0,0,3,2,4,3,3,4,3,0
SEQ_033171,1,1,1,1,0,1,1,3,1,0,1
SEQ_033186,0,3,3,3,2,3,2,2,3,2,3
SEQ_033198,1,3,3,2,3,2,3,3,3,3,4
SEQ_033206,4,4,4,4,3,4,4,4,4,3,4
SEQ_033216,4,1,1,0,1,0,0,1,1,1,2
SEQ_033222,0,0,0,0,4,0,0,0,0,4,0
SEQ_033224,2,2,2,2,2,2,2,2,2,2,2
SEQ_033227,4,0,0,3,4,4,3,3,4,0,1
SEQ_033239,3,0,0,4,0,4,4,0,0,4,1
SEQ_033241,0,2,2,1,2,3,2,2,2,2,3
SEQ_033250,0,2,2,1,2,3,2,2,2,2,3
SEQ_033252,1,3,3,1,1,3,2,2,2,1,2
SEQ_033270,0,2,2,1,2,3,2,2,2,2,3
SEQ_033271,0,1,1,0,0,0,0,4,0,1,2
SEQ_033278,2,4,4,3,4,3,3,4,4,3,0
SEQ_033289,4,2,0,0,0,1,0,0,0,1,0
SEQ_033294,1,4,4,1,2,1,2,3,3,2,3
SEQ_033296,1,4,2,1,1,1,1,2,2,2,3
SEQ_033300,1,3,3,2,3,2,2,3,3,2,4
SEQ_033301,1,3,3,1,1,3,2,2,2,1,2
SEQ_033304,3,1,3,3,4,3,3,3,0,4,0
SEQ_033325,2,0,4,3,4,0,4,4,2,4,0
SEQ_033329,4,2,2,2,1,2,1,1,2,1,2
SEQ_033333,0,2,2,4,0,4,1,1,1,0,1
SEQ_033347,0,2,2,1,2,3,2,2,2,2,3
SEQ_033351,3,1,1,0,0,1,0,0,1,0,1
SEQ_033355,0,3,1,0,0,0,0,0,1,1,2
SEQ_033368,4,2,0,4,4,4,4,4,4,0,1
SEQ_033382,3,4,3,3,3,4,3,3,3,4,3
SEQ_033388,2,3,3,2,2,2,2,1,2,3,4
SEQ_033391,1,3,3,2,3,2,2,3,3,2,4
SEQ_033394,0,2,2,1,2,1,1,2,2,2,3
SEQ_033402,2,0,2,2,3,2,3,4,4,3,4
SEQ_033403,3,1,3,3,4,3,3,3,0,4,0
SEQ_033431,4,1,1,4,4,0,0,0,0,4,2
SEQ_033433,2,4,3,2,2,2,2,1,3,3,4
SEQ_033439,0,3,2,2,2,3,2,2,3,2,3
SEQ_033441,4,2,0,0,0,1,0,0,0,1,0
SEQ_033453,2,4,4,3,3,3,3,3,4,2,0
SEQ_033458,0,2,2,1,2,3,2,2,2,2,3
SEQ_033461,2,4,3,2,2,2,2,1,3,3,4
SEQ_033505,2,3,3,0,1,0,4,2,2,1,2
SEQ_033511,0,1,0,0,0,1,0,0,0,0,0
SEQ_033523,0,1,1,0,0,0,0,4,0,1,2
SEQ_033529,0,2,2,1,2,1,1,2,2,2,3
SEQ_033531,0,1,4,4,4,0,4,4,3,0,3
SEQ_033538,2,3,4,1,2,2,1,1,2,3,4
SEQ_033539,1,2,2,1,1,1,1,0,1,2,3
SEQ_033559,2,4,3,2,2,2,2,1,3,3,4
SEQ_033571,3,1,0,3,4,3,4,0,0,4,0
SEQ_033572,1,3,3,2,3,2,3,3,3,3,4
SEQ_033596,0,1,0,0,0,1,0,0,0,0,0
SEQ_033608,2,4,4,3,3,3,3,3,4,2,0
SEQ_033609,0,0,0,0,4,0,0,0,0,4,0
SEQ_033612,2,2,2,2,2,2,2,2,2,2,2
SEQ_033640,1,3,3,2,3,2,3,3,3,3,4
SEQ_033641,2,4,4,3,4,3,3,4,4,3,0
SEQ_033643,4,1,1,4,4,0,0,0,0,4,2
SEQ_033649,4,0,0,0,4,0,4,4,0,4,0
SEQ_033651,4,1,1,3,4,3,0,0,0,4,0
SEQ_033668,3,3,3,3,2,3,2,2,3,2,3
SEQ_033673,1,2,1,1,1,2,1,1,1,2,1
SEQ_033681,4,1,1,0,1,0,0,0,1,0,2
SEQ_033693,1,1,1,1,0,1,0,0,1,0,1
SEQ_033714,2,2,2,2,1,2,1,1,2,1,2
SEQ_033722,0,3,2,2,2,3,2,2,3,2,3
SEQ_033733,0,1,0,0,0,1,0,0,0,0,0
SEQ_033755,0,2,2,1,2,3,2,2,2,2,3
SEQ_033759,1,3,1,1,1,0,1,1,1,1,1
SEQ_033765,4,0,4,4,4,0,4,4,4,4,4
SEQ_033786,3,3,3,3,0,3,3,3,3,4,3
SEQ_033792,0,0,0,0,4,0,0,0,0,4,0
SEQ_033816,0,1,1,0,0,0,0,4,0,1,2
SEQ_033817,2,4,4,2,2,2,3,3,3,2,3
SEQ_033830,0,3,3,3,2,3,2,2,3,2,3
SEQ_033841,1,3,3,2,3,2,2,3,3,2,4
SEQ_033855,0,1,0,0,0,1,0,0,0,0,0
SEQ_033859,3,4,3,2,3,3,2,2,3,4,4
SEQ_033867,3,3,3,3,0,3,3,3,3,4,3
SEQ_033883,1,2,2,0,1,1,0,0,1,2,3
SEQ_033888,4,0,4,4,4,0,4,4,4,4,4
SEQ_033900,3,0,0,4,0,4,0,0,0,0,1
SEQ_033903,3,4,3,2,3,3,2,2,3,4,4
SEQ_033905,4,2,0,0,0,1,0,0,0,1,0
SEQ_033911,4,4,4,4,3,4,3,3,4,3,4
SEQ_033922,3,3,3,3,2,3,3,2,3,2,3
SEQ_033924,3,3,3,3,2,3,2,2,3,2,3
SEQ_033979,2,4,4,3,4,4,4,4,4,4,0
SEQ_033984,2,3,2,2,2,3,2,2,2,3,2
SEQ_033998,4,1,1,4,4,0,0,0,0,4,2
SEQ_034006,0,2,2,0,0,1,1,1,1,0,1
SEQ_034019,3,1,0,3,4,3,4,0,0,4,0
SEQ_034024,2,2,2,2,1,2,2,1,2,1,2
SEQ_034025,4,2,0,4,4,4,4,4,4,0,1
SEQ_034030,2,3,2,2,2,3,2,2,2,3,2
SEQ_034035,1,3,3,2,3,2,3,3,3,3,4
SEQ_034037,2,0,0,0,4,0,4,4,0,4,0
SEQ_034048,2,0,4,3,4,0,4,4,2,4,0
SEQ_034051,3,1,3,3,4,3,3,3,0,4,0
SEQ_034072,0,0,0,0,4,0,0,0,0,4,0
SEQ_034089,4,2,0,4,4,4,4,4,4,0,1
SEQ_034091,3,1,3,3,4,3,3,3,0,4,0
SEQ_034092,3,4,4,4,3,3,2,2,3,4,0
SEQ_034096,1,3,3,1,1,3,2,2,2,1,2
SEQ_034104,3,4,4,4,3,4,3,3,4,3,4
SEQ_034113,3,0,0,4,0,4,4,0,0,4,1
SEQ_034120,2,0,4,3,4,0,4,4,2,4,0
SEQ_034122,3,4,4,4,3,3,2,2,3,4,0
SEQ_034124,2,4,4,3,3,3,3,3,4,2,0
SEQ_034129,0,3,3,3,2,3,2,2,3,2,3
SEQ_034132,0,2,2,0,0,1,1,1,1,0,1
SEQ_034137,3,4,3,2,3,3,2,2,3,4,4
SEQ_034139,0,2,2,4,0,4,1,1,1,0,1
SEQ_034145,3,0,0,3,3,4,4,4,4,3,4
SEQ_034154,1,4,2,1,1,1,1,2,2,2,3
SEQ_034160,4,0,0,3,2,4,3,3,4,3,0
SEQ_034165,0,2,2,0,0,1,1,1,1,0,1
SEQ_034175,2,3,4,1,2,2,1,1,2,3,4
SEQ_034182,3,4,4,3,3,3,3,2,4,4,0
SEQ_034184,4,1,1,0,1,2,1,1,1,1,2
SEQ_034191,2,4,4,3,4,3,3,4,4,3,0
SEQ_034195,2,3,3,0,1,0,4,2,2,1,2
SEQ_034249,3,0,0,4,4,4,4,4,0,3,4
SEQ_034250,2,3,2,2,2,3,2,2,2,3,2
SEQ_034251,0,0,0,0,4,0,4,4,0,4,0
SEQ_034259,4,0,4,4,4,0,4,4,4,4,4
SEQ_034276,1,3,3,1,1,3,2,2,2,1,2
SEQ_034277,4,2,1,4,0,4,4,1,1,0,1
SEQ_034280,3,4,4,4,3,4,3,3,4,3,4
SEQ_034290,4,2,4,1,1,2,1,1,2,1,2
SEQ_034299,4,4,4,4,3,4,3,3,4,3,4
SEQ_034307,3,3,3,3,2,3,2,2,3,2,3
SEQ_034320,3,1,1,0,0,1,0,0,1,0,1
SEQ_034322,4,4,4,4,3,4,4,4,4,3,4
SEQ_034324,2,4,4,2,2,2,3,3,3,2,3
SEQ_034326,4,4,4,4,3,4,4,4,4,3,4
SEQ_034327,3,3,3,3,2,3,2,2,3,2,3
SEQ_034355,2,0,2,2,3,2,3,4,4,3,4
SEQ_034359,3,3,3,3,2,3,3,2,3,2,3
SEQ_034367,1,1,1,1,0,1,0,0,1,0,1
SEQ_034380,4,1,1,0,1,0,0,1,1,1,2
SEQ_034397,1,4,4,4,3,4,3,3,4,3,4
SEQ_034419,0,1,1,4,0,0,4,4,0,1,2
SEQ_034424,0,2,2,1,2,3,2,2,2,2,3
SEQ_034460,4,0,0,3,2,4,3,3,4,3,0
SEQ_034465,0,3,1,0,0,0,0,0,1,1,2
SEQ_034467,3,3,3,3,2,3,2,2,3,2,3
SEQ_034470,1,2,1,1,1,2,1,1,1,2,1
SEQ_034482,4,2,1,4,0,4,4,1,1,0,1
SEQ_034485,0,1,1,0,0,0,0,4,0,1,2
SEQ_034492,1,2,2,0,1,1,0,0,1,2,3
SEQ_034514,4,0,0,4,4,4,4,3,4,0,1
SEQ_034517,1,4,4,1,2,1,2,3,3,2,3
SEQ_034518,3,0,0,4,0,1,0,0,0,0,1
SEQ_034537,2,2,2,2,2,2,2,2,2,2,2
SEQ_034539,2,3,2,2,2,3,2,2,2,3,2
SEQ_034543,2,0,2,2,3,2,3,4,4,3,4
SEQ_034566,3,3,3,3,2,3,3,2,3,2,3
SEQ_034571,1,3,3,2,3,2,2,3,3,2,4
SEQ_034574,0,0,0,0,4,0,0,0,0,4,0
SEQ_034593,4,0,0,0,4,0,4,4,0,4,0
SEQ_034594,4,2,1,4,0,4,4,1,1,0,1
SEQ_034598,4,4,4,4,3,4,3,3,4,3,4
SEQ_034605,2,2,2,2,2,2,2,2,2,2,2
SEQ_034622,1,4,4,4,3,4,3,3,4,3,4
SEQ_034628,4,0,0,4,4,4,4,3,4,0,1
SEQ_034630,4,1,1,0,1,0,0,0,1,0,2
SEQ_034636,0,0,0,0,4,0,4,4,0,4,0
SEQ_034651,4,4,4,4,3,4,4,4,4,3,4
SEQ_034652,2,4,3,2,2,2,2,1,3,3,4
SEQ_034661,4,1,1,3,4,3,0,0,0,4,0
SEQ_034662,0,0,0,0,4,0,0,0,0,4,0
SEQ_034668,3,4,3,3,3,4,3,3,3,4,3
SEQ_034676,3,0,0,4,4,4,4,4,0,3,4
SEQ_034706,3,4,3,3,3,4,3,3,3,4,3
SEQ_034723,0,1,1,1,0,1,0,0,1,0,1
SEQ_034729,3,0,0,4,0,1,0,0,0,0,1
SEQ_034738,4,1,1,0,1,2,1,1,1,1,2
SEQ_034747,4,4,4,4,3,4,3,3,4,3,4
SEQ_034748,2,2,2,2,1,2,1,1,2,1,2
SEQ_034749,1,4,4,1,2,1,2,3,3,2,3
SEQ_034758,3,0,0,4,4,4,4,4,0,3,4
SEQ_034774,0,1,1,0,0,0,0,4,0,1,2
SEQ_034794,1,4,4,4,3,4,3,3,4,3,4
SEQ_034797,1,2,1,1,1,2,1,1,1,2,1
SEQ_034815,3,1,0,3,4,3,4,0,0,4,0
SEQ_034866,1,3,3,2,3,2,2,2,3,0,4
SEQ_034878,2,3,3,0,1,0,4,2,2,1,2
SEQ_034895,1,4,3,2,3,4,3,3,4,3,4
SEQ_034898,1,4,3,1,2,1,1,4,3,2,3
SEQ_034912,1,4,2,1,1,1,1,2,2,2,3
SEQ_034913,2,0,4,2,3,2,2,2,4,3,4
SEQ_034919,2,2,2,2,1,2,2,1,2,1,2
SEQ_034921,3,3,3,3,0,3,3,3,3,4,3
SEQ_034922,2,4,3,2,2,2,2,1,3,3,4
SEQ_034924,0,3,3,3,2,3,2,2,3,2,3
SEQ_034925,0,2,2,0,0,1,1,1,1,0,1
SEQ_034926,2,0,2,2,3,2,3,4,4,3,4
SEQ_034927,1,1,1,1,0,1,0,0,1,0,1
SEQ_034944,2,4,4,3,4,3,3,4,4,3,0
SEQ_034947,2,2,2,2,2,2,2,2,2,2,2
SEQ_034962,1,4,4,4,3,4,3,3,4,3,4
SEQ_034994,3,3,3,3,2,3,3,2,3,2,3
SEQ_034999,2,0,4,2,3,2,2,2,4,3,4
SEQ_035009,3,0,0,4,0,4,4,0,0,4,1
SEQ_035014,4,1,1,3,4,3,0,0,0,4,0
SEQ_035034,0,3,1,0,0,0,0,0,1,1,2
SEQ_035037,4,2,2,2,1,2,1,1,2,1,2
SEQ_035040,2,2,2,2,1,2,2,1,2,1,2
SEQ_035049,2,0,0,0,4,0,4,4,0,4,0
SEQ_035054,3,1,3,3,4,3,3,3,0,4,0
SEQ_035062,2,3,3,0,1,0,4,2,2,1,2
SEQ_035067,1,1,1,1,0,1,1,3,1,0,1
SEQ_035072,4,2,4,1,1,2,1,1,2,1,2
SEQ_035078,1,3,3,2,3,2,2,2,3,0,4
SEQ_035080,3,1,1,0,0,1,0,0,1,0,1
SEQ_035085,2,4,4,3,4,4,4,4,4,4,0
SEQ_035090,3,3,3,3,2,3,3,2,3,2,3
SEQ_035105,4,1,1,0,1,2,1,1,1,1,2
SEQ_035116,3,3,3,3,2,3,3,2,3,2,3
SEQ_035121,0,2,2,1,2,3,2,2,2,2,3
SEQ_035132,0,2,2,4,0,4,1,1,1,0,1
SEQ_035141,4,4,4,4,3,4,4,4,4,3,4
SEQ_035148,3,1,1,0,0,1,0,0,1,0,1
SEQ_035149,3,4,4,3,3,3,3,2,4,4,0
SEQ_035154,3,4,3,2,3,3,2,2,3,4,4
SEQ_035156,3,3,3,3,0,3,3,3,3,4,3
SEQ_035158,4,0,0,0,4,0,4,4,0,4,0
SEQ_035161,4,1,1,0,1,0,0,1,1,1,2
SEQ_035166,2,0,4,2,3,2,2,2,4,3,4
SEQ_035175,3,1,3,3,4,3,3,3,0,4,0
SEQ_035188,1,3,3,2,3,2,2,3,3,2,4
SEQ_035191,3,1,0,3,4,3,4,0,0,4,0
SEQ_035192,2,4,4,3,4,3,3,4,4,3,0
SEQ_035204,0,0,0,0,4,0,0,0,0,4,0
SEQ_035209,4,2,1,4,0,4,4,1,1,0,1
SEQ_035219,3,1,3,3,4,3,3,3,0,4,0
SEQ_035221,2,0,4,3,4,0,4,4,2,4,0
SEQ_035225,4,0,0,0,4,0,4,4,0,4,0
SEQ_035244,4,4,4,4,3,4,4,4,4,3,4
SEQ_035249,3,0,0,4,0,4,4,0,0,4,1
SEQ_035250,4,0,0,3,2,4,3,3,4,3,0
SEQ_035252,3,0,0,3,3,4,4,4,4,3,4
SEQ_035256,3,1,1,0,0,1,0,0,1,0,1
SEQ_035267,2,3,4,1,2,2,1,1,2,3,4
SEQ_035276,0,3,1,0,0,0,0,0,1,1,2
SEQ_035283,0,3,3,3,2,3,2,2,3,2,3
SEQ_035285,3,1,0,3,4,3,4,0,0,4,0
SEQ_035294,4,4,4,4,3,4,3,3,4,3,4
SEQ_035303,3,1,3,3,4,3,3,3,0,4,0
SEQ_035304,4,2,4,1,1,2,1,1,2,1,2
